transaction_id,amount,payment_method,failure_reason,customer_age_days,previous_successful_payments,previous_failed_payments,retry_count,time_since_failure_hours,customer_avg_amount,is_subscription,recovered
TXN000040,5283.55,Card,Insufficient Funds,1247,14,4,4,24.39,827.3,0,0
TXN000041,680.61,UPI,Authentication Failed,1121,15,6,0,2.44,999.62,1,1
TXN000042,763.2,Card,Insufficient Funds,204,14,1,0,2.37,1370.98,1,0
TXN000043,1380.51,UPI,Bank Decline,989,9,2,0,12.95,562.2,0,1
TXN000044,1924.78,Net Banking,Network Error,1429,14,4,0,4.96,2942.45,0,1
TXN000045,6406.02,UPI,Limit Exceeded,45,21,3,1,4.97,834.09,0,0
TXN000046,246.15,Card,Network Error,715,20,4,1,57.77,793.49,0,1
TXN000047,2306.2,UPI,Bank Decline,477,14,5,0,6.27,1063.38,0,1
TXN000048,2140.32,Card,Insufficient Funds,85,16,2,1,45.31,381.11,1,0
TXN000049,969.28,Card,Limit Exceeded,735,20,6,1,4.76,1174.87,0,0
TXN000050,2227.3,UPI,Authentication Failed,1124,19,4,0,41.16,358.94,0,1
TXN000051,2542.36,Wallet,Limit Exceeded,690,28,5,0,4.09,3043.98,1,1
TXN000052,316.16,Net Banking,Bank Decline,49,10,3,0,3.46,439.52,0,0
TXN000053,5296.44,Net Banking,Authentication Failed,138,13,2,2,5.85,1059.75,1,0
TXN000054,269.65,Net Banking,Bank Decline,83,14,1,0,9.86,304.85,0,0
TXN000055,394.74,Card,Network Error,1262,14,1,0,4.21,583.49,0,1
TXN000056,866.44,Net Banking,Network Error,45,25,6,2,17.24,2796.77,1,0
TXN000057,6200.88,UPI,Bank Decline,157,26,3,0,11.37,1016.26,1,0
TXN000058,830.95,UPI,Limit Exceeded,982,14,2,0,13.93,4947.98,0,1
TXN000059,1065.56,UPI,Network Error,1449,14,8,3,19.67,457.75,0,0
TXN000060,3979.34,UPI,Bank Decline,1216,11,4,0,11.16,1021.6,1,1
TXN000061,836.91,UPI,Bank Decline,324,20,2,0,1.79,474.57,0,1
TXN000062,379.71,UPI,Insufficient Funds,1494,22,1,4,7.85,806.36,0,1
TXN000063,753.32,Net Banking,Network Error,1462,30,6,1,13.13,845.62,0,0
TXN000064,3765.79,UPI,Bank Decline,1165,10,4,3,3.55,1347.21,0,1
TXN000065,1168.85,UPI,Insufficient Funds,1299,18,7,0,12.22,1018.68,0,1
TXN000066,6232.87,Card,Expired Card,443,18,2,1,2.37,799.26,1,1
TXN000067,2130.56,UPI,Expired Card,633,19,1,1,7.82,1672.63,1,0
TXN000068,613.8,Net Banking,Limit Exceeded,557,21,2,4,32.86,1628.77,0,1
TXN000069,1148.22,UPI,Network Error,346,19,3,1,0.87,2843.77,0,1
TXN000070,508.82,Wallet,Authentication Failed,1272,12,5,1,0.67,422.01,0,0
TXN000071,600.89,Net Banking,Authentication Failed,1251,20,3,0,9.17,538.42,0,1
TXN000072,61770.17,UPI,Limit Exceeded,664,16,3,0,44.28,3997.72,0,0
TXN000073,2742.88,UPI,Expired Card,924,15,2,0,17.16,4602.41,0,1
TXN000074,2380.32,Net Banking,Bank Decline,367,16,9,1,20.92,1747.94,0,0
TXN000075,625.87,Card,Authentication Failed,1002,24,7,2,14.64,1669.6,1,0
TXN000076,4503.57,Card,Bank Decline,777,14,9,2,26.86,1036.93,1,1
TXN000077,2949.75,Net Banking,Insufficient Funds,196,22,3,0,9.43,1434.24,1,1
TXN000078,5963.78,UPI,Bank Decline,419,21,6,2,24.88,1780.05,0,0
TXN000079,5709.02,UPI,Insufficient Funds,335,13,3,3,48.98,3538.83,0,1
TXN000080,289.69,UPI,Authentication Failed,1252,14,3,2,7.62,1631.94,0,0
TXN000081,403.89,Net Banking,Network Error,98,16,2,0,9.52,920.22,0,1
TXN000082,444.34,Card,Network Error,446,21,4,1,3.46,626.26,1,1
TXN000083,468.93,UPI,Expired Card,1136,13,2,0,2.25,401.38,0,1
TXN000084,1467.19,UPI,Network Error,251,19,4,1,24.93,1149.1,1,1
TXN000085,658.44,UPI,Insufficient Funds,1335,23,3,1,15.97,2129.98,0,1
TXN000086,7082.19,UPI,Network Error,915,18,3,1,22.65,2665.55,0,0
TXN000087,6088.83,Card,Expired Card,839,16,2,0,3.31,3251.13,0,1
TXN000088,1090.27,Card,Bank Decline,103,18,6,0,25.48,1563.7,0,0
TXN000089,6372.8,Net Banking,Limit Exceeded,944,19,5,3,6.78,719.27,1,1
TXN000090,4185.25,Card,Bank Decline,960,15,3,1,17.41,2573.4,1,1
TXN000091,730.96,UPI,Bank Decline,1296,20,6,3,33.85,485.63,1,0
TXN000092,179.78,Card,Insufficient Funds,581,13,4,2,17.2,822.87,0,0
TXN000093,901.29,Card,Bank Decline,109,15,4,0,3.38,807.28,0,0
TXN000094,613.9,Card,Limit Exceeded,1284,18,2,1,12.48,1132.12,1,0
TXN000095,1320.62,Net Banking,Limit Exceeded,1485,15,3,1,5.25,2317.47,0,1
TXN000096,1188.33,Card,Bank Decline,835,21,5,0,14.49,1116.69,0,1
TXN000097,1160.63,Card,Network Error,519,20,3,2,1.48,738.73,0,1
TXN000098,1756.92,Card,Expired Card,672,20,2,2,72.75,1487.87,0,1
TXN000099,368.24,UPI,Bank Decline,1291,17,4,0,17.43,585.97,0,1
TXN000100,1587.99,UPI,Insufficient Funds,41,9,2,1,8.65,1288.7,0,1
TXN000101,738.3,UPI,Authentication Failed,1411,16,6,2,7.61,1769.3,1,1
TXN000102,1312.89,Card,Network Error,403,23,3,0,15.66,637.24,1,1
TXN000103,2595.85,UPI,Authentication Failed,33,16,4,4,20.07,482.25,1,1
TXN000104,364.32,Card,Bank Decline,312,15,1,1,4.81,1044.6,0,0
TXN000105,851.36,Net Banking,Expired Card,705,15,5,2,14.41,637.9,0,0
TXN000106,985.67,UPI,Bank Decline,587,18,4,1,34.98,611.21,0,0
TXN000107,690.32,UPI,Bank Decline,171,20,4,0,29.92,761.76,0,1
TXN000108,2464.75,Card,Network Error,1288,16,4,2,3.67,1868.06,0,1
TXN000109,573.44,UPI,Bank Decline,108,14,4,0,8.7,864.32,0,0
TXN000110,665.23,UPI,Insufficient Funds,461,14,2,1,28.16,443.78,0,1
TXN000111,578.87,UPI,Bank Decline,199,20,4,1,6.66,1355.13,0,1
TXN000112,2930.27,UPI,Insufficient Funds,922,15,4,0,26.36,1524.66,0,1
TXN000113,704.02,Net Banking,Expired Card,904,12,7,0,22.24,1607.66,0,1
TXN000114,1659.12,Net Banking,Network Error,816,11,3,0,3.63,1279.58,1,0
TXN000115,6490.76,Card,Insufficient Funds,305,17,3,0,21.48,742.13,0,1
TXN000116,1025.22,Net Banking,Insufficient Funds,27,20,7,0,32.68,2229.49,1,0
TXN000117,2983.51,Net Banking,Insufficient Funds,51,9,6,1,42.78,405.39,0,1
TXN000118,4935.55,UPI,Network Error,502,18,3,0,5.06,483.33,1,0
TXN000119,2764.11,Net Banking,Insufficient Funds,689,25,2,1,103.95,1183.63,0,0
TXN000120,1080.18,Card,Limit Exceeded,229,17,4,1,12.13,1369.16,0,1
TXN000121,1954.51,Net Banking,Insufficient Funds,305,14,2,1,5.21,360.16,0,1
TXN000122,344.25,Net Banking,Bank Decline,1054,9,4,2,23.03,482.02,0,1
TXN000123,543.46,UPI,Authentication Failed,1368,24,4,0,22.46,1064.25,0,1
TXN000124,636.38,UPI,Expired Card,1114,19,8,0,17.14,1142.26,1,1
TXN000125,8238.31,UPI,Insufficient Funds,1090,10,8,1,2.82,2443.8,0,0
TXN000126,527.78,Card,Limit Exceeded,294,26,5,2,0.58,404.87,1,1
TXN000127,520.75,Net Banking,Network Error,523,16,4,0,23.93,587.86,0,1
TXN000128,428.58,Net Banking,Limit Exceeded,904,14,5,0,7.73,456.75,1,1
TXN000129,1814.98,UPI,Network Error,160,17,0,1,1.85,270.02,1,1
TXN000130,1246.83,Card,Expired Card,287,15,4,1,48.17,733.56,0,1
TXN000131,2916.34,UPI,Authentication Failed,440,23,8,2,46.93,1347.25,0,0
TXN000132,2006.47,UPI,Bank Decline,348,17,2,1,18.5,769.98,1,1
TXN000133,316.6,UPI,Network Error,92,20,6,0,5.01,1223.35,0,0
TXN000134,530.3,UPI,Bank Decline,785,15,4,1,75.17,988.09,1,1
TXN000135,3747.32,Net Banking,Insufficient Funds,197,13,3,0,4.96,516.63,0,1
TXN000136,913.27,UPI,Insufficient Funds,1282,17,10,4,0.19,638.66,1,1
TXN000137,3193.37,Card,Insufficient Funds,1098,17,1,1,41.36,2056.02,0,1
TXN000138,958.42,Card,Expired Card,1176,12,3,0,3.93,1781.86,1,1
TXN000139,459.03,UPI,Network Error,997,23,6,2,17.88,1646.68,0,1
TXN000140,834.69,Wallet,Network Error,882,31,4,4,4.9,906.4,0,0
TXN000141,458.86,Wallet,Insufficient Funds,668,20,4,1,10.66,637.82,0,1
TXN000142,659.18,UPI,Bank Decline,580,26,3,0,9.29,1393.3,1,1
TXN000143,1314.0,Card,Authentication Failed,1285,21,4,1,8.46,845.47,1,1
TXN000144,1737.92,UPI,Bank Decline,137,16,7,1,6.88,783.4,1,0
TXN000145,262.13,UPI,Network Error,845,16,5,1,0.28,1171.38,0,1
TXN000146,1079.62,UPI,Limit Exceeded,965,12,5,2,4.35,510.67,1,1
TXN000147,646.81,Card,Limit Exceeded,1407,22,8,1,92.56,2358.83,0,0
TXN000148,611.81,Card,Network Error,1229,21,3,3,0.14,1304.99,0,1
TXN000149,1235.73,UPI,Authentication Failed,845,17,2,0,1.34,2026.79,1,1
TXN000150,668.2,UPI,Bank Decline,227,20,5,0,0.59,866.33,0,0
TXN000151,3804.44,Net Banking,Authentication Failed,1440,17,2,0,12.99,847.16,0,1
TXN000152,3194.72,UPI,Bank Decline,649,21,7,0,0.68,822.66,0,0
TXN000153,3176.85,UPI,Bank Decline,1201,18,3,0,13.84,580.75,1,1
TXN000154,702.45,Card,Insufficient Funds,1175,14,5,0,7.11,643.83,1,1
TXN000155,461.16,Wallet,Limit Exceeded,494,12,3,0,37.82,721.47,1,1
TXN000156,1180.66,UPI,Bank Decline,858,19,3,0,8.0,2306.4,1,1
TXN000157,957.85,Card,Bank Decline,360,22,7,0,30.85,1129.82,1,1
TXN000158,634.01,Card,Bank Decline,1211,19,6,0,21.95,570.57,0,1
TXN000159,380.63,UPI,Authentication Failed,954,12,6,0,62.83,1203.18,0,0
TXN000160,1056.41,Card,Limit Exceeded,167,15,6,1,10.52,985.33,1,1
TXN000161,762.3,UPI,Network Error,470,16,2,0,55.71,1047.17,0,1
TXN000162,2037.57,Card,Network Error,1090,11,3,0,18.73,282.07,0,0
TXN000163,1995.39,Card,Network Error,221,18,2,0,8.68,938.32,0,1
TXN000164,2953.42,Card,Bank Decline,586,13,0,2,12.12,2012.54,1,1
TXN000165,353.06,UPI,Authentication Failed,1222,17,4,1,23.59,1424.47,1,0
TXN000166,1573.33,Net Banking,Insufficient Funds,494,20,6,1,38.93,752.41,0,1
TXN000167,569.8,UPI,Bank Decline,231,16,3,0,9.37,2913.92,0,0
TXN000168,365.63,UPI,Bank Decline,1422,19,6,1,51.54,886.7,0,0
TXN000169,745.65,UPI,Network Error,715,21,1,2,11.71,1316.39,0,1
TXN000170,2869.33,Card,Bank Decline,167,16,2,1,26.48,813.95,1,1
TXN000171,784.4,Card,Network Error,461,19,6,1,42.87,455.98,1,1
TXN000172,4486.86,UPI,Insufficient Funds,1141,15,2,0,4.47,1548.32,0,1
TXN000173,1797.21,Card,Network Error,1089,21,4,1,4.04,2246.43,0,1
TXN000174,769.18,UPI,Bank Decline,551,18,4,2,20.62,961.01,1,1
TXN000175,3115.18,Card,Insufficient Funds,35,18,6,0,18.0,537.11,0,1
TXN000176,1637.39,UPI,Insufficient Funds,773,16,4,2,31.73,1183.06,0,1
TXN000177,473.76,Card,Limit Exceeded,191,17,5,1,14.03,788.09,1,0
TXN000178,5842.55,UPI,Bank Decline,1254,10,4,4,23.34,1372.78,1,1
TXN000179,1385.1,Net Banking,Network Error,363,20,4,0,3.35,664.05,1,1
TXN000180,1115.34,UPI,Expired Card,498,10,5,0,14.19,908.82,1,0
TXN000181,507.77,UPI,Expired Card,739,12,6,0,0.18,2167.26,0,1
TXN000182,3170.31,UPI,Network Error,584,22,3,0,20.62,899.59,0,1
TXN000183,1746.81,Net Banking,Bank Decline,120,19,4,0,63.48,1216.66,0,0
TXN000184,1932.01,Net Banking,Bank Decline,384,17,4,0,3.47,1176.72,0,1
TXN000185,694.52,UPI,Expired Card,1315,21,5,1,2.64,4197.83,1,1
TXN000186,2323.18,Card,Network Error,103,15,5,0,11.55,1548.5,0,1
TXN000187,2491.48,Net Banking,Limit Exceeded,848,18,1,2,10.64,800.84,0,1
TXN000188,600.7,Card,Authentication Failed,130,11,2,0,10.53,1202.79,1,1
TXN000189,306.34,Card,Insufficient Funds,162,13,2,2,6.18,719.78,0,1
TXN000190,1850.55,UPI,Insufficient Funds,116,14,7,0,2.68,5130.45,0,0
TXN000191,266.13,UPI,Expired Card,59,17,0,2,46.12,563.91,0,0
TXN000192,1257.42,Net Banking,Bank Decline,1204,19,4,0,7.72,835.13,0,0
TXN000193,733.24,Net Banking,Insufficient Funds,594,25,4,0,9.41,1111.44,1,0
TXN000194,3283.94,Card,Authentication Failed,1344,17,6,0,9.85,545.9,0,1
TXN000195,770.04,UPI,Bank Decline,732,16,9,2,2.46,1532.55,0,1
TXN000196,2970.68,UPI,Authentication Failed,1420,22,3,1,3.97,701.42,0,0
TXN000197,690.36,Card,Expired Card,51,19,3,0,0.23,675.02,0,1
TXN000198,2697.26,Net Banking,Limit Exceeded,942,18,2,1,12.38,2048.55,0,1
TXN000199,7004.5,Net Banking,Insufficient Funds,1147,15,3,0,14.54,739.29,0,1
TXN000200,419.37,Net Banking,Bank Decline,128,16,0,2,4.32,1219.0,0,1
TXN000201,1426.29,Card,Network Error,488,23,6,2,9.9,1278.75,1,1
TXN000202,13015.6,UPI,Insufficient Funds,1200,19,3,1,21.14,1799.23,1,1
TXN000203,1164.36,UPI,Bank Decline,684,17,5,0,5.4,1764.35,0,1
TXN000204,1159.34,Net Banking,Bank Decline,1430,27,3,1,8.24,290.39,0,1
TXN000205,2229.76,Card,Insufficient Funds,506,17,4,0,21.92,722.71,1,0
TXN000206,1137.94,UPI,Insufficient Funds,80,21,3,1,16.35,944.24,0,1
TXN000207,235.92,UPI,Limit Exceeded,977,14,4,0,12.7,2238.38,0,1
TXN000208,3038.32,Card,Insufficient Funds,155,27,4,1,36.48,580.09,0,0
TXN000209,180.79,UPI,Insufficient Funds,898,20,5,0,1.31,839.85,1,1
TXN000210,753.62,UPI,Network Error,1091,15,6,4,13.44,1111.13,0,0
TXN000211,3250.89,Card,Authentication Failed,1084,9,5,2,21.66,885.21,0,1
TXN000212,795.61,Card,Bank Decline,1253,18,1,0,5.82,1721.68,0,1
TXN000213,587.38,Card,Insufficient Funds,479,12,4,1,6.11,844.7,0,0
TXN000214,2419.55,UPI,Network Error,1346,15,6,1,12.43,654.67,1,1
TXN000215,509.79,Card,Authentication Failed,176,22,4,2,7.5,988.37,1,1
TXN000216,365.04,UPI,Limit Exceeded,707,21,4,2,9.93,3345.27,1,0
TXN000217,1403.97,UPI,Network Error,38,24,7,0,21.14,1124.39,0,1
TXN000218,930.17,Card,Bank Decline,59,16,3,0,8.4,2910.47,0,1
TXN000219,358.06,Card,Network Error,946,17,2,0,0.5,1434.62,0,1
TXN000220,1945.47,Net Banking,Insufficient Funds,145,20,3,1,1.76,1008.69,0,0
TXN000221,1665.76,Card,Expired Card,1404,24,3,2,12.68,2194.88,0,1
TXN000222,793.32,Card,Expired Card,1077,30,5,0,49.23,1801.26,1,1
TXN000223,843.7,UPI,Authentication Failed,96,17,8,3,6.05,1376.0,0,1
TXN000224,1674.64,UPI,Bank Decline,834,17,3,0,0.43,1331.47,1,1
TXN000225,3201.34,UPI,Insufficient Funds,42,21,3,3,30.27,1623.35,1,0
TXN000226,850.21,UPI,Network Error,1022,17,3,0,26.6,1098.0,1,0
TXN000227,1976.77,Wallet,Expired Card,935,22,5,3,36.87,2038.89,1,0
TXN000228,1823.8,UPI,Limit Exceeded,1255,21,4,0,11.3,708.33,0,0
TXN000229,2419.65,Net Banking,Insufficient Funds,560,18,4,0,1.42,889.35,0,1
TXN000230,1136.12,Card,Bank Decline,746,21,5,4,2.88,605.71,0,1
TXN000231,482.46,Net Banking,Network Error,275,21,6,2,58.11,3765.64,0,0
TXN000232,723.25,Card,Bank Decline,916,19,4,1,34.89,306.66,0,0
TXN000233,1493.04,Card,Authentication Failed,192,12,2,0,16.8,978.7,1,0
TXN000234,5634.24,Card,Network Error,1401,20,1,0,0.96,690.69,0,1
TXN000235,709.37,UPI,Limit Exceeded,875,29,4,1,1.24,852.12,1,1
TXN000236,2262.69,Card,Network Error,1265,28,1,0,3.64,315.25,0,1
TXN000237,816.27,UPI,Limit Exceeded,1152,11,4,1,19.35,691.98,1,0
TXN000238,1211.27,UPI,Bank Decline,430,13,3,1,64.88,1485.52,0,0
TXN000239,4289.21,Card,Limit Exceeded,839,31,7,1,15.59,543.02,0,1
TXN000240,2181.71,UPI,Bank Decline,1419,16,5,3,32.76,2689.22,0,0
TXN000241,358.82,Net Banking,Network Error,932,24,3,3,26.14,641.95,0,1
TXN000242,655.09,Wallet,Insufficient Funds,1147,21,2,2,5.47,379.69,0,1
TXN000243,3396.83,Net Banking,Network Error,1496,22,4,0,15.75,3110.55,0,0
TXN000244,1246.0,UPI,Bank Decline,1459,9,1,0,22.12,1526.24,1,0
TXN000245,389.96,UPI,Bank Decline,875,18,7,1,7.0,1659.78,1,0
TXN000246,524.76,Net Banking,Authentication Failed,1022,19,2,4,16.98,4697.18,0,1
TXN000247,2065.53,Card,Insufficient Funds,448,16,3,1,2.49,411.73,1,0
TXN000248,2683.75,Wallet,Limit Exceeded,45,17,8,0,29.04,2490.96,0,1
TXN000249,1114.4,Wallet,Authentication Failed,914,18,5,2,6.7,318.96,1,1
TXN000250,10175.95,Net Banking,Insufficient Funds,1192,25,2,2,6.54,478.28,0,1
TXN000251,2302.47,UPI,Expired Card,172,15,4,0,23.54,2048.37,0,0
TXN000252,880.83,UPI,Bank Decline,1475,15,5,1,27.62,1248.79,1,0
TXN000253,526.3,Net Banking,Insufficient Funds,449,9,5,0,23.57,223.31,1,1
TXN000254,456.05,UPI,Bank Decline,337,25,4,0,7.28,693.97,0,0
TXN000255,1483.08,UPI,Authentication Failed,999,18,4,0,45.57,561.96,0,0
TXN000256,706.34,Card,Insufficient Funds,1365,23,6,1,16.27,1625.21,0,1
TXN000257,4946.17,Net Banking,Network Error,1142,17,5,0,8.02,1313.24,0,1
TXN000258,4103.85,Card,Network Error,720,15,4,0,7.66,1444.14,1,1
TXN000259,1938.67,Card,Authentication Failed,841,19,3,0,1.48,517.85,0,1
TXN000260,379.52,UPI,Insufficient Funds,145,17,4,1,3.29,745.17,1,1
TXN000261,598.85,Card,Expired Card,1196,24,6,1,19.08,1410.59,1,1
TXN000262,3395.17,Wallet,Expired Card,1444,22,7,0,6.8,1183.85,1,1
TXN000263,660.66,UPI,Expired Card,1199,13,4,0,5.37,2032.29,1,1
TXN000264,3010.7,Card,Authentication Failed,775,22,5,0,0.09,527.41,0,0
TXN000265,1681.0,Net Banking,Limit Exceeded,130,16,4,0,33.43,447.98,1,1
TXN000266,1148.88,Card,Insufficient Funds,888,19,7,1,5.71,1242.91,0,0
TXN000267,582.57,Card,Network Error,767,10,3,3,6.6,2764.12,1,1
TXN000268,1007.45,Card,Bank Decline,1128,17,6,0,91.97,362.6,1,1
TXN000269,1300.73,UPI,Bank Decline,1090,14,5,0,11.72,514.53,0,1
TXN000270,2777.44,UPI,Bank Decline,1049,17,4,2,13.86,752.81,1,1
TXN000271,494.15,Net Banking,Bank Decline,1154,15,3,1,1.09,977.74,1,1
TXN000272,865.64,Net Banking,Bank Decline,232,20,5,1,12.76,1964.11,0,1
TXN000273,1141.78,Net Banking,Authentication Failed,618,21,4,0,9.99,516.78,1,0
TXN000274,1991.04,Net Banking,Insufficient Funds,330,24,2,2,36.74,865.77,0,0
TXN000275,484.14,Card,Authentication Failed,1047,10,8,0,13.32,666.68,0,1
TXN000276,335.32,Card,Network Error,1110,12,4,3,36.61,1575.55,0,0
TXN000277,2011.36,Net Banking,Network Error,603,8,6,0,25.3,1324.63,1,1
TXN000278,279.74,Card,Limit Exceeded,1486,11,4,2,0.23,2092.73,0,0
TXN000279,3485.9,Card,Bank Decline,547,19,3,0,65.04,1667.94,0,1
TXN000280,953.05,Net Banking,Bank Decline,652,23,2,1,1.37,2155.85,1,0
TXN000281,272.39,Net Banking,Bank Decline,996,10,2,0,0.64,811.08,1,1
TXN000282,711.68,UPI,Bank Decline,712,17,3,3,6.68,2855.47,0,1
TXN000283,1542.58,UPI,Authentication Failed,637,20,7,4,9.94,358.37,1,1
TXN000284,678.96,UPI,Limit Exceeded,1408,21,5,0,4.55,2644.88,1,1
TXN000285,1116.58,Card,Insufficient Funds,885,14,3,1,12.38,586.64,0,1
TXN000286,2134.68,UPI,Insufficient Funds,197,12,2,0,61.92,2267.24,0,0
TXN000287,914.18,Card,Bank Decline,861,20,5,1,14.59,2091.05,0,1
TXN000288,471.84,Card,Insufficient Funds,497,19,8,0,2.13,792.13,1,0
TXN000289,837.91,UPI,Network Error,411,15,4,2,43.72,856.36,0,1
TXN000290,3918.08,Card,Insufficient Funds,1302,23,5,0,2.1,501.05,0,0
TXN000291,4996.82,UPI,Network Error,881,13,5,2,11.01,551.3,1,0
TXN000292,178.05,UPI,Insufficient Funds,436,19,4,0,11.15,1258.23,0,1
TXN000293,2927.56,Net Banking,Bank Decline,526,20,4,4,23.45,399.88,0,1
TXN000294,1373.52,UPI,Expired Card,899,19,4,0,20.49,2701.65,0,0
TXN000295,2518.92,UPI,Network Error,1414,16,5,2,17.25,1462.96,0,0
TXN000296,668.18,Card,Authentication Failed,827,7,8,1,18.22,1139.9,0,1
TXN000297,223.31,Card,Authentication Failed,893,17,2,2,25.73,781.81,1,1
TXN000298,1855.74,UPI,Bank Decline,1222,18,10,0,3.4,2671.55,1,1
TXN000299,470.18,Card,Insufficient Funds,441,27,4,0,67.41,1616.54,0,0
TXN000300,314.36,UPI,Limit Exceeded,69,17,1,0,14.2,678.31,1,1
TXN000301,334.77,UPI,Authentication Failed,1246,20,4,0,23.01,856.77,0,0
TXN000302,1883.38,Card,Limit Exceeded,140,11,5,1,15.57,1958.18,0,1
TXN000303,1243.28,Card,Insufficient Funds,964,22,8,4,37.49,1219.75,0,1
TXN000304,2217.69,Card,Authentication Failed,625,12,2,0,15.93,741.96,0,1
TXN000305,2002.53,Card,Bank Decline,1191,20,2,0,1.81,1698.51,1,0
TXN000306,750.82,Wallet,Expired Card,1288,20,1,0,37.25,1567.3,1,0
TXN000307,1029.24,Card,Authentication Failed,431,24,8,0,1.94,1185.48,0,1
TXN000308,692.08,UPI,Bank Decline,364,27,3,1,13.27,421.02,1,0
TXN000309,907.51,Net Banking,Authentication Failed,1405,15,3,0,4.06,569.46,1,0
TXN000310,459.19,UPI,Bank Decline,1039,19,3,2,2.32,1277.66,1,1
TXN000311,1558.43,Card,Authentication Failed,1017,17,4,0,2.35,342.13,1,0
TXN000312,2885.95,UPI,Bank Decline,203,17,4,2,36.16,745.25,1,1
TXN000313,525.87,UPI,Authentication Failed,1147,23,3,2,7.64,939.87,0,0
TXN000314,3474.28,Wallet,Insufficient Funds,1040,26,2,2,7.84,1203.27,0,0
TXN000315,1214.6,Net Banking,Expired Card,868,19,2,0,20.81,775.72,0,0
TXN000316,1362.36,Card,Network Error,525,22,5,2,32.08,901.61,0,1
TXN000317,237.58,UPI,Network Error,355,18,3,1,30.81,453.69,0,0
TXN000318,215.61,UPI,Bank Decline,1434,15,9,0,18.78,987.48,0,1
TXN000319,1248.51,UPI,Expired Card,581,17,6,3,22.77,1331.69,0,0
TXN000320,2232.24,UPI,Insufficient Funds,1034,21,5,0,17.22,675.71,0,1
TXN000321,599.3,Card,Network Error,334,22,3,3,32.09,847.93,1,1
TXN000322,4929.95,Card,Bank Decline,518,10,7,1,7.61,1476.4,0,0
TXN000323,2124.82,Card,Authentication Failed,937,15,3,0,4.89,1374.17,0,1
